z,y_true,y_approx,mp_error,double_error
0.0001880703125,1.6667297635919954765150899482694673e-4,0.00016667297635919955,-2.4728507839862966069589782433306962e-21,0
0.0001890703125,1.6755920330940271876886138728303652e-4,0.0001675592033094027,2.6622770768519726544336923193940265e-20,2.710505431213761E-20
0.0001900703125,1.684454302598690912820724384722025e-4,0.00016844543025986908,1.282677149928224887437100244229636e-20,2.710505431213761E-20
0.0001910703125,1.6933165721060005727341639668339662e-4,0.00016933165721060004,2.0073764361847290680803771034913235e-20,2.710505431213761E-20
0.0001920703125,1.7021788416159700882517041956312229e-4,0.000170217884161597,3.8781479705679803002811228302690767e-21,0
0.0001930703125,1.7110411111286133801961458942218329e-4,0.00017110411111286134,1.0694868008745790176564191114262201e-21,0
0.00019407031250000002,1.7199033806439446096026158638237888e-4,0.00017199033806439444,1.828846930173312187616748657775616e-20,2.710505431213761E-20
0.00019507031249999999,1.7287656501619769766570841448352279e-4,0.0001728765650161977,-6.8040774418347307460986013708056583e-21,0
0.0001960703125,1.7376279196827253630316266795056453e-4,0.00017376279196827256,-2.2608824378897404409593762527350366e-20,-2.710505431213761E-20
0.00019707031249999998,1.7464901892062027286999760529631911e-4,0.00017464901892062028,-7.0659509214097940641310910108759071e-21,-2.710505431213761E-20
0.0001980703125,1.7553524587324239553342686686987279e-4,0.0001755352458732424,-1.6996339220866631893750629882144039e-20,-2.710505431213761E-20
0.0001990703125,1.7642147282614022431205936447558411e-4,0.0001764214728261402,2.0786121276206341506578607092182246e-20,2.710505431213761E-20
0.0002000703125,1.7730769977931517530942576164133099e-4,0.0001773076997793152,-2.2603134558506814374096170671147964e-20,-2.710505431213761E-20
0.0002010703125,1.7819392673276864060783008903529301e-4,0.00017819392673276864,-1.9143010526680190901041370315779853e-21,0
0.0002020703125,1.7908015368650201228957943975069453e-4,0.000179080153686502,1.1261996031384965824762198953015488e-20,2.710505431213761E-20
0.00020307031250000002,1.7996638064051670645821370988541959e-4,0.0001799663806405167,-3.5385819535433506475962933060695994e-21,0
0.0002040703125,1.8085260759481404313235698748443665e-4,0.00018085260759481404,-2.3496358987571002205366037293213658e-22,0
0.0002050703125,1.8173883454939551047924456124821413e-4,0.00018173883454939552,-8.5429550686178514733754821312699662e-21,-2.710505431213761E-20
0.00020607031249999998,1.8262506150426240449627697974574383e-4,0.0001826250615042624,-6.4027085116684931739781488290849109e-21,0
0.0002070703125,1.8351128845941621335069585603986438e-4,0.00018351128845941624,-2.3530023785671004093885933708843762e-20,-2.710505431213761E-20
0.0002080703125,1.843975154148582570611377339267509e-4,0.00018439751541485827,-1.3843817017296919071601881262534728e-20,-2.710505431213761E-20
0.0002090703125,1.8528374237058995173116132049363028e-4,0.00018528374237058995,2.1915919572476137170336390853474022e-21,0
0.0002100703125,1.8616996932661268944309875927708609e-4,0.00018616996932661268,7.1957110503434136353127034564040869e-21,0
0.0002110703125,1.8705619628292786227928539399949822e-4,0.00018705619628292785,1.0893105686694707212413819750447134e-20,0
0.00021207031250000002,1.8794242323953688634328957963790734e-4,0.0001879424232395369,-7.1805343220148399389911471037864914e-21,0
0.0002130703125,1.8882865019644108165376371892019636e-4,0.00018882865019644108,-9.441092435250548735102329515297325e-22,0
0.00021407031250000001,1.8971487715364193637797204709442824e-4,0.00018971487715364194,-1.1339632229408223783687200511202519e-22,0
0.00021507031249999998,1.9060110411114074651334363040721583e-4,0.00019060110411114076,-9.7335734746806299853958910282303218e-21,0
0.0002160703125,1.9148733106893900022714930670724024e-4,0.00019148733106893903,-3.2415357030404613768773520617735245e-20,-2.710505431213761E-20
0.0002170703125,1.9237355802703801753805448246028181e-4,0.000192373558027038,5.027420058669647635658216559140455e-21,0
0.0002180703125,1.9325978498543921454964715121603158e-4,0.00019325978498543924,-2.6289750005751973181980267046221922e-20,-2.710505431213761E-20
0.0002190703125,1.9414601194414398334428880922626991e-4,0.00019414601194414402,-3.5327112710023016682211463421031553e-20,-2.710505431213761E-20
0.0002200703125,1.9503223890315371600434429068933234e-4,0.0001950322389031537,1.4744981173174310170745049680844547e-20,0
0.0002210703125,1.9591846586246980461218178305686106e-4,0.0001959184658624698,-1.8741416484145580351774277789163396e-21,0
0.0002220703125,1.9680469282209364125017284234055649e-4,0.00019680469282209366,-2.1249770913520852555314023335451797e-20,-2.710505431213761E-20
